Wavelength (nm);Optical Density;% Transmission
297;5.970013;0.000107149
298;6.002238;9.9486E-05
299;5.983744;0.000103814
300;5.957796;0.000110206
301;5.998398;0.00010037
302;6.027439;9.38774E-05
303;5.949983;0.000112206
304;5.902736;0.000125102
305;5.926032;0.000118568
306;5.976323;0.000105603
307;5.990186;0.000102285
308;5.959487;0.000109777
309;5.934964;0.000116154
310;5.964114;0.000108614
311;6.009592;9.78156E-05
312;5.973233;0.000106357
313;5.939685;0.000114899
314;5.944113;0.000113733
315;5.890186;0.00012877
316;5.87276;0.000134042
317;5.909015;0.000123306
318;5.901892;0.000125345
319;5.972047;0.000106648
320;6.004456;9.89792E-05
321;6.080764;8.30302E-05
322;6.048749;8.93822E-05
323;5.995482;0.000101046
324;6.033994;9.24711E-05
325;5.956482;0.00011054
326;5.920477;0.000120094
327;6.000728;9.98325E-05
328;5.932626;0.000116781
329;5.936738;0.000115681
330;6.010338;9.76477E-05
331;6.034795;9.23007E-05
332;5.992309;0.000101787
333;6.015631;9.64648E-05
334;5.937509;0.000115476
335;6.011183;9.74579E-05
336;6.040566;9.10823E-05
337;6.03564;9.21213E-05
338;5.997805;0.000100507
339;6.036249;9.19922E-05
340;6.031607;9.29807E-05
341;6.041681;9.08488E-05
342;6.003058;9.92983E-05
343;5.98093;0.000104489
344;6.008212;9.81269E-05
345;5.999155;0.000100195
346;5.999302;0.000100161
347;5.999471;0.000100122
